model,cumulative_flops,step,tokens_seen,train_loss,val_perplexity,wall_seconds
Dense,34653339648,2,3072,4.252995,62.540709,0.293
Dense,51980009472,3,4608,4.143911,55.919072,0.457
Dense,69306679296,4,6144,3.995326,50.795779,0.613
Dense,86633349120,5,7680,3.858057,45.501572,0.772
Dense,103960018944,6,9216,3.784362,41.463294,0.927
Dense,121286688768,7,10752,3.662735,37.059558,1.083
Dense,155940028416,9,13824,3.512470,30.783376,1.247
Dense,173266698240,10,15360,3.416218,28.508142,1.405
Dense,190593368064,11,16896,3.312052,26.945302,1.562
Dense,207920037888,12,18432,3.333357,25.307996,1.719
MoE,24590241792,3,4608,4.265505,67.047152,7.490
MoE,40983736320,5,7680,4.099396,57.033828,14.464
MoE,65573978112,8,12288,3.825047,44.323195,22.374
MoE,81967472640,10,15360,3.695697,37.642307,29.894
MoE,106557714432,13,19968,3.474983,31.202407,38.417
MoE,122951208960,15,23040,3.354344,28.031962,43.483
MoE,147541450752,18,27648,3.269840,24.905860,46.688
MoE,163934945280,20,30720,3.129763,23.228923,49.720
MoE,180328439808,22,33792,3.109550,22.387258,52.695
MoE,204918681600,25,38400,3.038848,20.983645,55.906
