run,step,train_loss,val_perplexity,aux_loss,entropy,top1_share
no_aux,25,3.001098,20.129226,1.125033,2.029031,0.169644
no_aux,50,2.723716,14.773018,1.057786,2.042129,0.176185
no_aux,75,2.508476,12.809572,1.045230,2.038830,0.205534
no_aux,100,2.407008,11.859051,1.074807,2.058861,0.161936
no_aux,125,2.453158,11.564695,1.078729,2.046859,0.183585
no_aux,150,2.370040,11.096846,1.085373,2.042910,0.185911
no_aux,175,2.379063,10.903628,1.076816,2.048186,0.175677
no_aux,200,2.405904,10.667063,1.085545,2.043800,0.169553
no_aux,225,2.306204,10.539838,1.083111,2.032601,0.178433
no_aux,250,2.369935,10.486519,1.078445,2.035771,0.176931
no_aux,275,2.287400,10.265254,1.095537,2.027849,0.178459
no_aux,300,2.366298,10.259389,1.081006,2.027621,0.182227
with_aux,25,3.039875,20.519905,1.089122,2.004144,0.193563
with_aux,50,2.742550,15.146479,1.063590,2.013595,0.228681
with_aux,75,2.524973,12.966845,1.046932,2.036727,0.194414
with_aux,100,2.426566,11.968887,1.042451,2.040579,0.188086
with_aux,125,2.465666,11.634026,1.070482,2.040858,0.187409
with_aux,150,2.379216,11.109392,1.048390,2.058827,0.179197
with_aux,175,2.367272,10.924485,1.028730,2.061195,0.158294
with_aux,200,2.397374,10.665828,1.015971,2.065490,0.148824
with_aux,225,2.308278,10.538724,1.017919,2.061653,0.177062
with_aux,250,2.353770,10.487357,1.010291,2.063738,0.176523
with_aux,275,2.291022,10.294444,1.003214,2.060905,0.177318
with_aux,300,2.364118,10.315585,1.002631,2.059556,0.175938
